id_municipio,risco_observado,risco_previsto,codigo_uf,regiao,meta_alfabetizacao_2025,taxa_alfabetizacao_anterior,n_estudantes_teste,taxa_alfabetizacao_prevista,risco_ic95_inferior,risco_ic95_superior,deficit_para_meta_pp,amostra_suficiente,nome_municipio
2900108,1.0,0.7182587547633925,29,Nordeste,48.51,34.57,1,28.174124523660748,0.0,1.0,20.33587547633925,False,Abaíra
1717800,0.6666666666666666,0.7152670076832487,17,Norte,22.93,9.52,3,28.47329923167513,0.20458749326722758,1.0,-5.543299231675132,False,Ponte Alta do Bom Jesus
2908507,0.5384615384615384,0.7141662972249423,29,Nordeste,48.3,34.3,26,28.58337027750577,0.5404959027918745,0.88783669165801,19.716629722494226,False,Conceição do Jacuípe
2915205,0.5384615384615384,0.7133910357684379,29,Nordeste,50.34,36.92,13,28.660896423156213,0.46758468238877954,0.9591973891480963,21.67910357684379,False,Itagibá
4323457,0.25,0.7131037215434773,43,Sul,59.11,49.03,4,28.689627845652264,0.2698372481538322,1.0,30.420372154347735,False,Vila Nova do Sul
4315602,0.48623853211009177,0.7121488819971163,43,Sul,62.61,54.17,109,28.785111800288366,0.6271502020433243,0.7971475619509084,33.82488819971164,True,Rio Grande
4321600,0.627906976744186,0.7104382852286014,43,Sul,62.76,54.39,43,28.956171477139858,0.574870783711396,0.8460057867458068,33.803828522860144,True,Tramandaí
2110278,0.46153846153846156,0.7103801570025059,21,Nordeste,47.51,33.31,13,28.96198429974941,0.4638080405217596,0.9569522734832522,18.548015700250588,False,Santo Amaro do Maranhão
2705606,0.5294117647058824,0.709683417427189,27,Nordeste,42.53,27.37,17,29.0316582572811,0.4939090456056874,0.9254577892486906,13.4983417427189,False,Novo Lino
2906907,0.4782608695652174,0.7087118548865277,29,Nordeste,53.33,40.91,23,29.128814511347233,0.5230219015588584,0.8944018082141969,24.201185488652765,False,Caravelas
4312609,0.6666666666666666,0.708290809221594,43,Sul,60.38,50.88,3,29.170919077840594,0.19392001272347958,1.0,31.20908092215941,False,Muçum
2806404,0.875,0.7067695607084259,28,Nordeste,43.85,28.89,8,29.32304392915741,0.3913021350101673,1.0,14.52695607084259,False,Santana do São Francisco
1302306,0.7142857142857143,0.706313758123092,13,Norte,50.12,36.64,28,29.368624187690795,0.537612745451881,0.8750147707943031,20.751375812309202,False,Jutaí
2703106,0.68,0.7038496470489863,27,Nordeste,44.57,29.74,25,29.615035295101364,0.5248788620942826,0.8828204320036901,14.954964704898636,False,Igaci
1703008,0.8571428571428571,0.7037200938982036,17,Norte,36.07,20.49,7,29.627990610179644,0.3654542663451556,1.0,6.442009389820356,False,Babaçulândia
2407252,0.0,0.703181808662252,24,Nordeste,45.97,31.42,6,29.681819133774802,0.33762109470387447,1.0,16.288180866225197,False,Major Sales
2913200,0.5384615384615384,0.7019640540211862,29,Nordeste,54.41,42.38,26,29.80359459788138,0.5261469356385863,0.8777811724037862,24.606405402118618,False,Ibotirama
2925105,0.4594594594594595,0.700980888239836,29,Nordeste,55.58,44.01,37,29.901911176016405,0.5534585553697103,0.8485032211099616,25.678088823983593,True,Poções
5101852,0.25,0.6997403099009629,51,Centro-Oeste,45.89,31.32,8,30.025969009903708,0.3821055371035873,1.0,15.864030990096293,False,Bom Jesus do Araguaia
5005202,0.6129032258064516,0.6987851616365455,50,Centro-Oeste,40.56,25.17,31,30.121483836345455,0.5372804328866747,0.8602898903864162,10.438516163654548,True,Ladário
1507201,0.5833333333333334,0.6977830205710217,15,Norte,45.48,30.82,12,30.22169794289783,0.4379555429032686,0.9576104982387748,15.258302057102167,False,São Domingos do Capim
2930709,0.5094339622641509,0.6962715480359505,29,Nordeste,54.58,42.62,106,30.372845196404953,0.6087257710624729,0.783817325009428,24.207154803595046,True,Simões Filho
2914604,0.4745762711864407,0.6957732147820156,29,Nordeste,54.14,42.02,59,30.422678521798442,0.5783746892294381,0.813171740334593,23.71732147820156,True,Irecê
2920601,0.5833333333333334,0.6954321112613636,29,Nordeste,58.0,47.43,24,30.456788873863637,0.5113040938349165,0.8795601286878107,27.543211126136363,False,Maragogipe
4309951,0.0,0.6933197898040357,43,Sul,72.34,49.55,1,30.668021019596424,0.0,1.0,41.67197898040358,False,Ibirapuitã
